"DATE","VWRET","topN"
1970-01-30,0.0110964959346702,10
1970-02-27,0.0258012708413666,10
1970-03-31,0.00979696130569626,10
1970-04-30,-0.0844818536552683,10
1970-05-29,-0.0349459816857064,10
1970-06-30,-0.0509759054210172,10
1970-07-31,0.0642941911104156,10
1970-08-31,0.0637376663858744,10
1970-09-30,0.0322485546269436,10
1970-10-30,0.0160526516893521,10
1970-11-30,0.0520515119692004,10
1970-12-31,0.0404430349220047,10
1971-01-29,0.000836457050504213,10
1971-02-26,0.0324181153038225,10
1971-03-31,0.04314901380279,10
1971-04-30,0.0310562297217926,10
1971-05-28,-0.0500360484592084,10
1971-06-30,-0.0147783965145796,10
1971-07-30,-0.0509606148714774,10
1971-08-31,0.0353651930496601,10
1971-09-30,0.008687831418621,10
1971-10-29,-0.0285702441985665,10
1971-11-30,0.0134551011134416,10
1971-12-31,0.0824620975703992,10
1972-01-31,0.0355181206467803,10
1972-02-29,0.0194188773564537,10
1972-03-30,0.0267541923375524,10
1972-04-28,-0.00249088153406718,10
1972-05-31,0.0362247324525133,10
1972-06-30,-0.00654080774630852,10
1972-07-31,0.0203752484654138,10
1972-08-31,0.0254936844248122,10
1972-09-29,0.0057714849387135,10
1972-10-31,-0.00949344514258785,10
1972-11-30,0.0248595545033731,10
1972-12-29,0.0250252440189647,10
1973-01-31,0.0264545046312212,10
1973-02-28,-0.0252456353334054,10
1973-03-30,0.00343264643682926,10
1973-04-30,-0.0342756145475301,10
1973-05-31,-0.0169712649148458,10
1973-06-29,0.0176821401058638,10
1973-07-31,0.0075636900294593,10
1973-08-31,-0.0393904801618571,10
1973-09-28,-0.0270625223081692,10
1973-10-31,0.0202437533777372,10
1973-11-30,-0.0743293560469497,10
1973-12-31,-0.0135843029710491,10
1974-01-31,-0.0216699150651755,10
1974-02-28,-0.0219258965900702,10
1974-03-29,-0.0113514198214632,10
1974-04-30,-0.0296503205253328,10
1974-05-31,-0.0187547339283683,10
1974-06-28,-0.00468528771206547,10
1974-07-31,-0.0672745250759044,10
1974-08-30,-0.0808345854211332,10
1974-09-30,-0.150159192485433,10
1974-10-31,0.126715929403154,10
1974-11-29,-0.0629840428643101,10
1974-12-31,-0.0283092746203348,10
1975-01-31,0.115569089937519,10
1975-02-28,0.0953756395145974,10
1975-03-31,-0.00625757750128726,10
1975-04-30,0.0535036845081847,10
1975-05-30,0.0403108325925463,10
